id,chr,bp,cM
S2525,2,0,46.4
B103,2,0,46.7
P6,2,0,48.6
C626,2,0,48.9
Y2757R,2,0,49.7
G243,2,0,50.5
S10576,2,0,52.7
S1917,2,0,53.0
S2328,2,0,53.8
R1989,2,0,54.1
C196,2,0,54.6
R1736,2,0,54.9
R2975,2,0,55.4
R1843,2,0,55.7
S14043,2,0,56.0
S10847A,2,0,56.5
C777,2,0,57.3
G132,2,0,60.3
S2068,2,0,77.0
G1314B,2,0,77.9
S10814,2,0,78.7
C499,2,0,79.0
C1566,2,0,82.9
R3041,2,0,83.7
C621,2,0,85.1
L22,2,0,85.4
G45,2,0,86.8
R1424,2,0,88.4
C953A,2,0,88.7
B159,2,0,89.8
R1870B,2,0,90.1
C37,2,0,90.4
C436,2,0,91.2
S11120,2,0,91.5
S14078,2,0,92.0
S1785,2,0,92.3
S10641,2,0,93.4
C41,2,0,94.2
S10844,2,0,95.0
C645,2,0,96.4
S2287,2,0,98.0
C920,2,0,98.3
R1381,2,0,99.4
R2792,2,0,99.7
C424,2,0,100.2
S13984,2,0,100.7
R2370A,2,0,103.4
R480A,2,0,104.2
R63,2,0,106.1
F19,2,0,107.4
G39,2,0,107.7
L737,2,0,108.0
C1236,2,0,109.4
L107,2,0,110.8
G57,2,0,114.9
W142A,2,0,117.4
R418,2,0,119.6
R3128,2,0,120.8
C1419,2,0,122.3
R2643,2,0,122.6
C92,2,0,123.1
S11127,2,0,125.0
S1911,2,0,127.7
L629,2,0,128.5
R685,2,0,131.2
C370,2,0,132.2
B241,2,0,132.8
C932,2,0,134.2
V4,2,0,134.7
R2609,2,0,135.5
C560,2,0,136.1
S10030,2,0,139.3
C253,2,0,139.8
R759,2,0,140.1
C1119,2,0,140.4
R3324,2,0,141.5
C348,2,0,143.4
R2734,2,0,143.7
S1730,2,0,144.0
C1221,2,0,144.3
C1137A,2,0,147.3
C1137B,2,0,148.1
C440,2,0,148.4
G7009,2,0,149.5
G7011,2,0,150.0
R2511,2,0,150.3
G7026,2,0,150.6
S1916,2,0,150.9
S10020B,2,0,152.3
G7016,2,0,153.1
C1470,2,0,154.7
V80,3,0,0.0
S10760,3,0,1.1
S1714,3,0,1.6
C515,3,0,1.9
C567,3,0,2.2
V10A,3,0,2.5
C721,3,0,6.0
C1153,3,0,6.3
W164,3,0,7.4
Y1065R,3,0,7.9
R1713,3,0,9.3
C1279,3,0,10.9
C814B,3,0,11.2
R2247,3,0,11.5
S1473,3,0,12.0
L837,3,0,12.5
C725,3,0,13.3
R3131,3,0,14.4
R1811,3,0,14.8
S2514,3,0,15.2
S13946,3,0,16.8
C25,3,0,17.9
V131A,3,0,18.4
S2769,3,0,20.3
V53B,3,0,21.1
C1051,3,0,21.4
S2264,3,0,21.7
S2344,3,0,24.2
R3212,3,0,24.5
R461,3,0,24.8
M61B,3,0,27.2
R176,3,0,27.5
C316,3,0,27.8
R2479,3,0,28.2
S1513,3,0,30.0
C245,3,0,30.5
C169,3,0,30.8
S10968,3,0,33.0
G55,3,0,34.4
R2015,3,0,35.8
S1845,3,0,36.6
C706,3,0,37.4
R2293,3,0,38.8
S10251,3,0,39.6
C63,3,0,40.1
L761,3,0,41.7
S2072,3,0,42.2
S13802,3,0,42.5
C68,3,0,43.3
S1524,3,0,43.6
S1650,3,0,43.9
C12534S,3,0,44.2
C1488,3,0,46.4
C606,3,0,46.7
S804,3,0,47.2
R216,3,0,47.5
G62,3,0,48.3
R1638,3,0,48.6
R1862,3,0,49.1
R3156,3,0,50.6
B212,3,0,53.0
R3126,3,0,55.5
S11433,3,0,56.3
R2906S,3,0,57.2
C1135,3,0,59.6
C198,3,0,61.5
C582,3,0,62.0
C730,3,0,63.4
C603,3,0,65.0
C12845S,3,0,65.5
C1186,3,0,66.3
Y3870L,3,0,67.4
S11493,3,0,68.8
Y3870R,3,0,69.3
G144,3,0,69.8
R2982,3,0,70.1
C1677,3,0,73.5
S1764,3,0,76.8
S14055,3,0,80.2
C524,3,0,83.2
T84,3,0,84.4
C80,3,0,86.2
R606A,3,0,87.0
C269B,3,0,87.5
V8,3,0,87.8
C816,3,0,88.1
G332,3,0,88.4
S10558,3,0,88.7
C1122,3,0,89.7
L481,3,0,90.5
C2394,3,0,91.3
P60,3,0,92.1
S11539,3,0,95.9
S13580,3,0,97.7
R19,3,0,98.2
S10742,3,0,100.1
M183,3,0,100.6
V6B,3,0,111.2
C136,3,0,116.9
S10057A,3,0,121.0
C746,3,0,121.4
R2752A,3,0,121.7
Y3335L,3,0,123.6
R2847,3,0,124.1
C1351,3,0,124.9
C944,3,0,127.6
V120,3,0,128.1
M10,3,0,128.4
R2060,3,0,128.7
S10087,3,0,129.0
R2690,3,0,129.4
W821,3,0,130.2
C1468,3,0,132.0
R689,3,0,136.4
C595,3,0,137.1
G249,3,0,137.8
S770,3,0,138.9
C1401,3,0,139.2
R1618,3,0,140.0
L154,3,0,141.1
R2404,3,0,141.4
G1015,3,0,142.8
S2516,3,0,143.6
C217,3,0,144.4
C1329,3,0,145.8
S13014,3,0,146.9
S13428,3,0,147.4
M143,3,0,147.7
S759,3,0,148.1
V6A,3,0,148.5
C831,3,0,149.0
S851,3,0,150.1
R2224,3,0,150.4
C1442,3,0,152.8
C1141,3,0,153.3
C1484,3,0,153.6
G164,3,0,154.7
S906,3,0,155.0
B240,3,0,156.1
S10594,3,0,156.6
C1219,3,0,157.1
S1866,3,0,157.6
S11301,3,0,159.0
W580,3,0,159.5
G1318,3,0,160.3
V71,3,0,161.4
S13122,3,0,165.2
L375,3,0,167.2
R2373,4,0,0.0
P34,4,0,2.8
V39,4,0,3.1
R1854,4,0,4.8
C9B,4,0,6.6
Y1065L,4,0,6.9
C1156,4,0,7.7
P66,4,0,9.4
Y3635R,4,0,9.9
C946,4,0,10.4
S2713,4,0,10.7
G3006,4,0,11.5
P16,4,0,12.2
C708,4,0,15.4
C820,4,0,17.4
T2,4,0,18.4
R288,4,0,18.7
C933,4,0,19.0
L363D,4,0,21.9
V145,4,0,22.6
V85,4,0,22.9
S1621,4,0,23.4
P28,4,0,23.7
P158,4,0,28.2
S10983,4,0,30.4
P161,4,0,39.1
S10644,4,0,48.7
P155,4,0,52.8
C975,4,0,53.1
C891,4,0,56.1
C140,4,0,58.1
V12,4,0,58.4
L1051,4,0,58.7
G271,4,0,59.1
S10628,4,0,59.5
C2043,4,0,60.6
R93,4,0,62.2
R2406,4,0,62.7
R2921,4,0,65.2
B74,4,0,65.5
C1087,4,0,66.6
S12568,4,0,67.4
C2807,4,0,67.7
S12448,4,0,68.0
V135,4,0,69.1
R2343,4,0,70.1
C1047,4,0,70.4
L353,4,0,71.2
G7008,4,0,72.0
G7004,4,0,72.3
G7005,4,0,72.6
C619,4,0,73.1
C377,4,0,74.5
R896,4,0,74.8
R1849,4,0,76.1
C335,4,0,76.7
C523A,4,0,77.0
M132,4,0,78.4
R374,4,0,81.9
L1091,4,0,82.7
R2783,4,0,83.2
R2370B,4,0,83.7
R3262,4,0,84.0
L1082B,4,0,85.4
V128,4,0,87.3
V15,4,0,87.6
R738,4,0,94.6
R2737,4,0,96.2
C79,4,0,97.6
C1100,4,0,97.9
S2486,4,0,100.9
G102,4,0,102.0
R514,4,0,102.3
S12119,4,0,102.6
C810,4,0,102.9
V65,4,0,104.4
V125,4,0,106.7
B387,4,0,107.6
G264,4,0,108.1
G235,4,0,108.4
V17,4,0,108.7
V16,4,0,109.0
L449,4,0,110.1
G267,4,0,111.2
L116,4,0,111.5
V38,4,0,112.6
R740,4,0,113.4
S14001,4,0,114.5
Y3451R,4,0,115.9
R1427,4,0,123.3
R2231,4,0,124.2
V121,4,0,128.6
C107,4,0,128.9
S1890,4,0,129.2
C445,4,0,129.5
TEL1,5,0,0.0
C597,5,0,3.0
V40,5,0,4.6
V30A,5,0,4.9
S14158,5,0,5.4
S12936,5,0,6.5
S2649,5,0,6.8
C2067,5,0,8.1
S1548,5,0,8.4
V82,5,0,9.5
R830,5,0,12.0
G396,5,0,12.5
S2136,5,0,14.3
F5002,5,0,16.3
R3166,5,0,18.8
R2213S,5,0,19.9
R2693S,5,0,20.4
R476B,5,0,20.9
S13147,5,0,21.2
R708,5,0,21.5
G71,5,0,24.5
V122,5,0,24.8
C119,5,0,27.5
S12447,5,0,28.9
C859,5,0,30.5
R2232,5,0,31.3
W168A,5,0,36.3
Y1060R,5,0,37.1
P21,5,0,38.1
C249,5,0,40.4
V146,5,0,40.9
C1004,5,0,43.9
S1873,5,0,44.4
S12928,5,0,44.9
C282A,5,0,46.0
S14177,5,0,47.4
S10265A,5,0,48.5
S1850B,5,0,49.4
V64,5,0,51.8
C309,5,0,52.3
S2351,5,0,52.6
R413,5,0,53.4
C1388,5,0,53.7
V147,5,0,57.5
G5004,5,0,59.7
M141,5,0,60.0
S2467,5,0,63.0
R3313,5,0,63.6
S1780,5,0,64.4
G1458,5,0,64.7
R372,5,0,65.0
T20,5,0,66.2
R1436,5,0,68.0
G3010,5,0,70.2
C1239,5,0,70.5
P83,5,0,70.8
V163,5,0,71.1
R188,5,0,71.4
R2289,5,0,71.7
S2692,5,0,72.5
W653,5,0,73.3
C1268,5,0,74.9
R2724,5,0,75.7
R1553,5,0,77.9
R1320,5,0,78.2
C308,5,0,83.2
C624,5,0,84.8
L1013,5,0,88.7
P68,5,0,89.5
C128,5,0,92.0
W754,5,0,92.5
C2161,5,0,92.8
S964,5,0,93.3
C536,5,0,93.6
R2117A,5,0,93.9
C1402,5,0,95.8
C191C,5,0,97.8
C62,5,0,98.5
C67B,5,0,99.0
B2H12,5,0,99.9
C1018,5,0,100.3
C336,5,0,100.6
R317S,5,0,101.1
L176,5,0,101.4
S11241,5,0,101.9
W162,5,0,102.2
S2678,5,0,104.9
S869,5,0,105.2
S2581,5,0,106.0
C2782A,5,0,106.5
C246,5,0,107.9
R3085,5,0,108.2
S11116,5,0,108.5
G1103,5,0,108.8
C686,5,0,109.1
Y2744R,5,0,109.4
R1607,5,0,109.9
R1714,5,0,110.5
R521,5,0,112.9
S14121,5,0,113.2
R3134,5,0,113.7
R1939,5,0,114.0
S12419,5,0,114.3
C999B,5,0,115.4
S11036,5,0,118.1
V41,5,0,118.4
C1230,5,0,119.5
V83,6,0,0.0
V63,6,0,0.6
V91,6,0,0.9
Y4621L,6,0,1.6
R2869,6,0,3.0
S10068,6,0,3.5
V84,6,0,4.5
S2107,6,0,5.0
R3139,6,0,5.9
C425A,6,0,7.2
C76A,6,0,7.9
C1496,6,0,9.3
C688,6,0,9.6
Y3637R,6,0,9.9
V42,6,0,10.2
C764,6,0,11.0
B174,6,0,11.8
G30,6,0,12.3
B67,6,0,12.6
C226A,6,0,12.9
S1434,6,0,13.2
G165A,6,0,14.6
B2F7,6,0,14.9
S1520,6,0,15.2
W490,6,0,17.4
L1092,6,0,18.0
R1954,6,0,18.5
L688,6,0,32.1
M160,6,0,32.7
Y2587L,6,0,33.5
S1553,6,0,35.3
alk,6,0,36.7
V73,6,0,37.2
C1478,6,0,37.7
P126,6,0,39.6
V19B,6,0,49.7
V19A,6,0,50.4
P123,6,0,50.7
R1679,6,0,52.9
P129,6,0,53.2
C235,6,0,53.5
P130,6,0,54.0
Y2145L,6,0,54.3
P127,6,0,59.9
R2123,6,0,62.2
L136,6,0,63.3
C999A,6,0,63.6
V96,6,0,63.9
R688,6,0,64.7
Y2686R,6,0,65.8
S1809,6,0,66.1
P139,6,0,66.4
C81,6,0,66.7
C133A,6,0,67.5
V148,6,0,68.6
P31,6,0,69.1
R32,6,0,69.6
C60213,6,0,71.5
G5003,6,0,71.8
L246,6,0,72.1
G3013,6,0,72.4
L1047,6,0,72.7
R437,6,0,73.0
C214,6,0,74.9
C829,6,0,77.4
S10555,6,0,78.8
G122,6,0,79.1
L131,6,0,79.9
R2955,6,0,80.2
G1369,6,0,81.0
R674,6,0,81.3
S12715,6,0,83.9
S10324A,6,0,85.9
R2266B,6,0,86.7
W475A,6,0,88.1
R1559,6,0,88.9
R2549,6,0,90.3
P12,6,0,91.1
L263,6,0,97.6
G12,6,0,98.6
V86,6,0,98.9
S1994,6,0,99.4
R276,6,0,101.6
S1306S,6,0,103.8
B284,6,0,106.0
L655,6,0,106.3
C259C,6,0,109.3
C962,6,0,111.8
C1424,6,0,112.1
L124,6,0,112.4
S14023,6,0,114.3
C61277S,6,0,114.6
C69,6,0,115.7
R1782,6,0,117.9
R1028,6,0,118.2
S2760,6,0,118.5
R1479,6,0,118.8
R1888,6,0,120.4
R1608,6,0,121.5
G342,6,0,122.3
V20,6,0,122.6
V43,6,0,123.1
P73,6,0,124.3
P98,6,0,125.0
S2329,7,0,0.0
S14082S,7,0,0.8
S14164,7,0,1.9
V108,7,0,2.2
W112,7,0,2.5
C261,7,0,3.8
C615,7,0,5.1
V44,7,0,7.0
M61,7,0,7.9
C2523S,7,0,8.8
C1023B,7,0,11.0
T94,7,0,16.1
R565,7,0,24.1
S12540,7,0,24.7
R2829,7,0,25.0
B2G4,7,0,25.3
S10012,7,0,25.9
L538T7,7,0,30.8
V177,7,0,35.5
M166,7,0,36.6
R1488,7,0,41.6
R1807,7,0,42.7
C67A,7,0,44.3
G338,7,0,45.1
L627,7,0,45.4
C636,7,0,46.4
L538T3,7,0,46.9
R1582,7,0,47.4
R46,7,0,47.7
Y2707L,7,0,49.0
C226B,7,0,49.3
R1382,7,0,49.6
S10038A,7,0,50.1
C492,7,0,50.4
R1788,7,0,50.7
P120,7,0,52.1
C735,7,0,52.9
R430,7,0,55.3
R1440,7,0,55.6
R646,7,0,56.9
G20,7,0,60.2
R3089,7,0,61.3
S11250,7,0,61.8
S11177,7,0,66.0
S14048,7,0,68.2
S10794,7,0,69.0
C909,7,0,69.8
C451,7,0,70.6
C1467,7,0,72.2
R2286,7,0,73.0
C1008,7,0,74.6
S13940,7,0,74.9
C1237,7,0,75.2
C1521,7,0,75.7
R1357,7,0,77.9
V93,7,0,78.2
P82,7,0,79.2
L585,7,0,79.5
R1422,7,0,80.0
S10051,7,0,80.3
S1563,7,0,80.8
R2677,7,0,82.2
R1245,7,0,83.0
B2F2,7,0,83.8
S1848,7,0,88.0
W146,7,0,88.4
S13453,7,0,88.8
C847,7,0,90.7
C1412,7,0,91.0
S2089,7,0,93.9
R3349,7,0,94.5
V104,7,0,95.8
R2658S,7,0,97.7
S14165,7,0,98.0
S10832,7,0,98.3
S13161,7,0,100.2
C1340,7,0,100.6
T79,7,0,101.0
C596,7,0,104.2
C844,7,0,113.7
R2576S,7,0,114.0
S14029,7,0,114.5
S11279,7,0,115.0
L831,7,0,115.8
C586,7,0,116.1
S2267,7,0,116.4
R411,7,0,116.7
S1979,7,0,117.0
S2104,8,0,0.0
S2518,8,0,0.3
T92,8,0,0.6
B119,8,0,1.4
C400,8,0,1.7
C1017,8,0,2.8
T77,8,0,3.4
G278,8,0,12.6
C390,8,0,13.2
C770,8,0,13.7
C181,8,0,16.2
C905,8,0,16.5
R1010,8,0,16.8
R2367,8,0,19.9
R2285,8,0,24.7
C166,8,0,26.2
R2723,8,0,27.0
V112,8,0,28.9
V116,8,0,33.3
V115,8,0,34.1
R2976,8,0,35.2
R902,8,0,36.3
S1850A,8,0,36.6
S1633A,8,0,38.0
S2092,8,0,38.3
C1121,8,0,39.4
R2736,8,0,39.7
W154,8,0,42.4
T19,8,0,43.0
G1010,8,0,44.2
R1813,8,0,44.7
V89A,8,0,45.1
S1633B,8,0,47.0
C483,8,0,47.5
S779,8,0,48.3
S10588,8,0,48.8
C1107,8,0,49.3
G104,8,0,49.6
R2201,8,0,52.6
B317,8,0,53.1
S10543,8,0,54.2
L457,8,0,56.6
C347,8,0,57.2
S14109,8,0,59.4
R1394A,8,0,64.7
P18,8,0,65.0
R727,8,0,65.5
V114,8,0,65.8
S10324B,8,0,66.1
L363F,8,0,68.5
S2014,8,0,69.9
L128,8,0,70.4
S815,8,0,73.8
C929,8,0,74.9
W128,8,0,76.4
S10631,8,0,76.7
S10622,8,0,78.5
S1609,8,0,78.8
S2524,8,0,82.6
P27,8,0,82.9
L677,8,0,84.8
G187,8,0,86.7
M235,8,0,88.0
R2676,8,0,88.6
M242C,8,0,89.4
R2382,8,0,90.2
R202,8,0,94.6
S14074,8,0,100.4
S10655,8,0,102.4
C10122S,8,0,103.2
R2118,8,0,103.6
V130,8,0,105.4
G56,8,0,105.9
G1149,8,0,106.2
V133,8,0,107.0
R2027,8,0,108.9
V129,8,0,110.3
C153,8,0,116.3
S1570,8,0,116.9
V49,8,0,117.2
C83,8,0,117.5
R1963,8,0,118.0
S11322,8,0,118.8
C152,9,0,0.0
S13769,9,0,0.5
G36,9,0,0.8
T50,9,0,1.6
L776,9,0,2.0
S10709,9,0,3.2
R1164,9,0,4.6
R1687,9,0,25.3
C1454,9,0,33.5
P162,9,0,36.5
S2660,9,0,37.4
G103,9,0,38.0
C1176,9,0,38.3
G6002,9,0,39.1
C397,9,0,43.2
C873,9,0,43.8
R41,9,0,44.1
S752,9,0,45.0
R742A,9,0,46.8
S1824,9,0,48.4
R1751,9,0,52.5
C472,9,0,53.9
S2074,9,0,57.4
S2778,9,0,58.5
S1974S,9,0,59.1
S10275,9,0,61.5
S1801,9,0,65.1
R2272,9,0,65.4
W2B,9,0,66.2
P88,9,0,66.7
R2638,9,0,67.9
G1087A,9,0,69.1
R1562,9,0,70.8
W601,9,0,71.7
C53053S,9,0,72.1
S1057,9,0,74.7
C609,9,0,77.3
C662,9,0,77.6
V109,9,0,79.2
C1263,9,0,81.1
L442,9,0,81.4
G1085,9,0,81.7
C985,9,0,84.7
S10578,9,0,85.0
B163,9,0,85.8
C570,9,0,86.9
C47,9,0,87.2
C506,9,0,93.0
S2275,9,0,93.3
R1683,9,0,94.1
S10879,9,0,94.4
G293,9,0,94.7
V50,9,0,95.0
S11302,9,0,96.1
L769,10,0,0.0
L169,10,0,1.2
S10906,10,0,2.0
R2965,10,0,2.3
R2946,10,0,3.1
R2309,10,0,4.4
C709B,10,0,5.1
C404,10,0,6.4
B10,10,0,6.9
R1933,10,0,7.7
S2348,10,0,9.6
P148,10,0,9.9
C913A,10,0,11.0
C1757S,10,0,11.5
C288C,10,0,12.5
S10020A,10,0,13.5
S11777,10,0,15.1
G1125,10,0,15.4
C489,10,0,15.9
R1261,10,0,16.5
C148,10,0,17.5
L682,10,0,18.3
G1084,10,0,18.6
P156,10,0,20.8
S1837,10,0,21.9
V152,10,0,22.2
S1856,10,0,22.7
V53A,10,0,23.8
S1786B,10,0,24.3
P89,10,0,25.4
C961,10,0,25.7
C1166,10,0,29.8
M168A,10,0,30.3
S10886A,10,0,31.4
C1633,10,0,31.7
Y1053R,10,0,34.6
V153,10,0,36.9
R3285,10,0,38.5
C677,10,0,40.7
R2604,10,0,41.0
C1195,10,0,41.8
G7007C,10,0,42.8
S10008,10,0,43.1
C234,10,0,43.4
C1369,10,0,43.7
R2825,10,0,44.0
G37,10,0,44.8
S11014,10,0,47.1
S11148,10,0,50.5
R1877,10,0,52.8
G291,10,0,53.1
S12564,10,0,53.4
C1361,10,0,54.2
S10019,10,0,54.5
V76,10,0,54.8
G4003,10,0,55.1
V77,10,0,57.0
G2155,10,0,58.1
C488,10,0,58.4
C121,10,0,59.6
R716,10,0,68.4
V37B,10,0,70.9
C16,10,0,71.2
C809,10,0,72.3
C797,10,0,72.6
C239,10,0,82.9
F15,10,0,83.4
C405,10,0,83.7
TEL2B,11,0,0.0
G24A,11,0,0.3
S1756,11,0,1.4
C389,11,0,1.7
R2253A,11,0,2.2
S790C,11,0,2.7
C362B,11,0,3.5
C104B,11,0,4.0
T28,11,0,4.3
W120A,11,0,4.7
SINE1_r6,11,0,5.4
S10792,11,0,5.9
R328B,11,0,6.4
V59,11,0,7.2
C1116B,11,0,7.5
C294,11,0,8.0
R642A,11,0,8.5
S10637B,11,0,8.8
R1938,11,0,9.1
C83B,11,0,10.2
C794A,11,0,16.6
S14061,11,0,16.9
S10318,11,0,18.8
C1350,11,0,19.6
S10616A,11,0,20.1
V79,11,0,25.1
C410,11,0,28.0
C477,11,0,28.4
C496,11,0,30.3
M148C,11,0,31.3
R2316,11,0,32.0
L428,11,0,32.6
S2712,11,0,33.3
G320,11,0,34.7
S2137,11,0,45.0
T13,11,0,45.5
C535,11,0,48.6
G44,11,0,53.9
V154,11,0,55.5
S790A,11,0,55.8
C3,11,0,56.1
G7007F,11,0,56.4
R1891,11,0,56.9
C754,11,0,57.2
G202,11,0,58.0
R728,11,0,63.8
C459B,11,0,65.2
T57,11,0,65.9
G257,11,0,68.0
V117,11,0,71.6
M244,11,0,77.1
S16073,11,0,77.4
M251,11,0,79.6
C1172,11,0,79.9
W1871C,11,0,80.2
P64,11,0,83.9
P79,11,0,85.4
S10928,11,0,88.7
R2458,11,0,89.8
C6,11,0,90.3
G4001,11,0,91.1
G1465,11,0,98.4
T45,11,0,99.5
G376,11,0,101.1
P76,11,0,103.6
L833,11,0,104.1
L468,11,0,106.0
C950,11,0,109.3
R2968,11,0,110.7
G181,11,0,111.2
Y2668LA,11,0,111.5
L1044,11,0,112.0
Y6854L,11,0,113.3
R1506,11,0,115.2
S12886,11,0,116.1
L190,11,0,116.4
R543,11,0,116.7
S10559,11,0,117.0
TEL3,11,0,118.6
TEL2A,12,0,0.0
G24B,12,0,5.5
V57B,12,0,5.8
R3266,12,0,6.3
G193,12,0,7.1
R2253B,12,0,7.4
C732B,12,0,7.9
S790B,12,0,9.5
C362A,12,0,9.8
R1957,12,0,10.1
C1116A,12,0,10.4
R769B,12,0,10.9
S2556,12,0,11.6
R642B,12,0,12.3
S10637A,12,0,13.4
C1336,12,0,25.9
S2572,12,0,26.5
R1534,12,0,27.0
R367,12,0,30.0
R3375,12,0,39.7
S10520,12,0,40.2
G1391,12,0,40.5
P4,12,0,43.0
R617,12,0,46.4
R1869,12,0,46.9
V175,12,0,47.2
S10904,12,0,47.5
S10704,12,0,48.6
C443,12,0,50.8
S14025,12,0,51.1
L1087B,12,0,53.9
S13752,12,0,56.0
S1436,12,0,57.4
S826,12,0,61.1
G2140,12,0,63.7
S894,12,0,64.8
C2,12,0,66.0
V124,12,0,70.7
C1060,12,0,71.2
G402,12,0,71.7
S2545,12,0,72.5
S10363,12,0,72.9
C185,12,0,73.8
C2808,12,0,89.0
R2708,12,0,89.9
R1709,12,0,91.8
C460,12,0,95.1
C87,12,0,95.6
S11447,12,0,95.9
C1069,12,0,97.8
S861,12,0,100.2
W326,12,0,101.4
L714,12,0,103.6
S10074,12,0,104.7
R1684,12,0,107.2
R496,12,0,108.0
G1106,12,0,108.8
S11076,12,0,109.3
Y2824R,12,0,109.8
C901,12,0,110.1
