Supplementary File 1: Average recombination rates (based on all 4 pedigrees) for all 1 Mb bins. 
The start eand end position of the bins are shown in columns 4 and 6. 
Start and end positions were based on the exact position of the SNPs on genome build Sscrofa10.2. 
The names of the SNPs are shown in columns 3 and 5

ssc	Bin (1Mb)	snp start	position	snp end	position	rec rate  
1	91	ASGA0003633	91015459	DBUN0003645	92004937	0,10863299
1	92	DBUN0003645	92004937	MARC0004543	93019315	0,380558482
1	93	MARC0004543	93019315	INRA0003161	94180981	0,049512977
1	94	INRA0003161	94180981	DRGA0001282	95079275	0,130620911
1	95	DRGA0001282	95079275	ASGA0003716	95995816	0,077603925
1	96	ASGA0003716	95995816	H3GA0002210	97039899	0,114656403
1	97	H3GA0002210	97039899	INRA0003215	98048248	0,050748287
1	98	INRA0003215	98048248	H3GA0002231	99205269	0,055333332
1	99	H3GA0002231	99205269	ASGA0003793	100021690	0,173864804
1	100	ASGA0003793	100021690	ALGA0004924	100995739	0,005316968
1	101	ALGA0004924	100995739	H3GA0002271	102071378	0,012633581
1	102	H3GA0002271	102071378	ALGA0004972	103047851	0,025430202
1	103	ALGA0004972	103047851	ASGA0003873	104073651	0,407297036
1	104	ASGA0003873	104073651	MARC0006105	105018683	0,255976371
1	105	MARC0006105	105018683	ALGA0005086	106042541	0,17235723
1	106	ALGA0005086	106042541	H3GA0002377	107075251	0,280604367
1	107	H3GA0002377	107075251	ASGA0004025	108004707	0,352468364
1	108	ASGA0004025	108004707	MARC0038164	109003582	0,367593249
1	109	MARC0038164	109003582	INRA0003497	110118325	0,037339868
1	110	INRA0003497	110118325	MARC0086394	111552970	0,080026438
1	111	MARC0086394	111552970	MARC0088166	112020122	0,15476059
1	112	MARC0088166	112020122	H3GA0002451	113009840	0,56347945
1	113	H3GA0002451	113009840	MARC0024008	114015245	0,304229871
1	114	MARC0024008	114015245	H3GA0002465	115016840	0,235943314
1	115	H3GA0002465	115016840	H3GA0002472	116031370	0,070694589
1	116	H3GA0002472	116031370	ALGA0005365	117096654	0,264881844
1	117	ALGA0005365	117096654	ALGA0005411	118042320	0,20315141
1	118	ALGA0005411	118042320	ASGA0004194	119004005	0,098515556
1	119	ASGA0004194	119004005	ALGA0005458	120194631	0,158452127
1	120	ALGA0005458	120194631	INRA0003745	121128221	0,397553968
1	121	INRA0003745	121128221	MARC0035967	121999146	0,154575589
1	122	MARC0035967	121999146	INRA0003807	123220315	0,235847158
1	123	INRA0003807	123220315	ALGA0005564	124014542	0,118091671
1	124	ALGA0005564	124014542	INRA0003847	125123092	0,468482527
1	125	INRA0003847	125123092	INRA0003877	126271024	0,051887743
1	126	INRA0003877	126271024	MARC0004631	127172643	0,241918153
1	127	MARC0004631	127172643	DRGA0001463	128248008	0,019177657
1	128	DRGA0001463	128248008	BGIS0004506	129025180	0,059475875
1	129	BGIS0004506	129025180	INRA0003960	130060199	0,37707008
1	130	INRA0003960	130060199	ASGA0004354	131011448	0,486963224
1	131	ASGA0004354	131011448	ASGA0004360	132029570	0,027162699
1	132	ASGA0004360	132029570	H3GA0002668	132999230	0,20565222
1	133	H3GA0002668	132999230	ASGA0004385	134051984	0,04000417
1	134	ASGA0004385	134051984	CADI0000524	135200531	0,115000448
1	135	CADI0000524	135200531	H3GA0002680	136200644	0,02480582
1	136	H3GA0002680	136200644	ASGA0004402	137035325	0,055091347
1	137	ASGA0004402	137035325	MARC0010832	137998037	0,424546876
1	138	MARC0010832	137998037	INRA0004079	139217790	0,05627394
1	139	INRA0004079	139217790	MARC0048256	139996752	0,127981954
1	140	MARC0048256	139996752	INRA0004128	141092891	0,01869886
1	141	INRA0004128	141092891	INRA0004144	142041071	0,054650641
1	142	INRA0004144	142041071	INRA0004170	143087067	0,16910926
1	143	INRA0004170	143087067	MARC0047539	144001096	0,171254405
1	144	MARC0047539	144001096	ASGA0004540	145020686	0,120575812
1	145	ASGA0004540	145020686	ALGA0006006	146032525	0,086412557
1	146	ALGA0006006	146032525	ASGA0004581	147041975	0,030740905
1	147	ASGA0004581	147041975	H3GA0002789	148011932	0,020295731
1	148	H3GA0002789	148011932	ALGA0006066	148999915	0,12547777
1	149	ALGA0006066	148999915	ALGA0006075	150237583	0,064449012
1	150	ALGA0006075	150237583	ALGA0006082	151203878	0,018324734
1	151	ALGA0006082	151203878	ASGA0004629	152002404	0,085378321
1	152	ASGA0004629	152002404	H3GA0002811	153144281	0,040083694
1	153	H3GA0002811	153144281	H3GA0002815	154076660	0,244190698
1	154	H3GA0002815	154076660	H3GA0002823	155011670	0,171010263
1	155	H3GA0002823	155011670	ASGA0004676	156019595	0,24716149
1	156	ASGA0004676	156019595	ALGA0006204	157003137	0,088469588
1	157	ALGA0006204	157003137	MARC0002985	157998086	0,317876762
1	158	MARC0002985	157998086	ASGA0004735	159034424	0,246781036
1	159	ASGA0004735	159034424	H3GA0002923	160024181	0,41438193
1	160	H3GA0002923	160024181	ASGA0004765	161003628	0,243340554
1	161	ASGA0004765	161003628	H3GA0055523	162006116	0,055033111
1	162	H3GA0055523	162006116	ASGA0004821	163013923	0,841034393
1	163	ASGA0004821	163013923	INRA0004641	164042900	0,197499732
1	164	INRA0004641	164042900	MARC0004229	165126925	0,257380343
1	165	MARC0004229	165126925	ASGA0004899	166065347	0,095833396
1	166	ASGA0004899	166065347	MARC0083025	167194551	0,118526545
1	167	MARC0083025	167194551	ALGA0006470	168247889	0,080100013
1	168	ALGA0006470	168247889	ASGA0004931	169007648	0,314036358
1	169	ASGA0004931	169007648	INRA0004778	170051398	0,046405811
1	170	INRA0004778	170051398	H3GA0003067	171389342	0,071073161
1	171	H3GA0003067	171389342	MARC0076018	172013706	0,212001025
1	172	MARC0076018	172013706	ALGA0006529	173010521	0,109000736
1	173	ALGA0006529	173010521	H3GA0003072	174018173	0,089139036
1	174	H3GA0003072	174018173	ASGA0004954	175226043	0,117940704
1	175	ASGA0004954	175226043	ALGA0006570	176029583	0,336477593
1	176	ALGA0006570	176029583	ALGA0006599	177006345	0,281606981
1	177	ALGA0006599	177006345	ALGA0006623	178024855	0,115974032
1	178	ALGA0006623	178024855	ALGA0006655	179002367	0,223060544
1	179	ALGA0006655	179002367	ASGA0005057	180163164	0,602894361
1	180	ASGA0005057	180163164	MARC0004843	181006837	0,187209902
1	181	MARC0004843	181006837	INRA0005046	182105893	0,240245395
1	182	INRA0005046	182105893	ALGA0006778	183094335	0,370077666
1	183	ALGA0006778	183094335	ASGA0005158	184000929	0,20659315
1	184	ASGA0005158	184000929	ALGA0006854	185048329	0,368405604
1	185	ALGA0006854	185048329	H3GA0003311	186244512	0,376147504
1	186	H3GA0003311	186244512	ASGA0005259	187085940	0,490737698
1	187	ASGA0005259	187085940	ALGA0006962	188025326	0,073284466
1	188	ALGA0006962	188025326	DRGA0001627	189025116	0,00863064
1	189	DRGA0001627	189025116	MARC0033388	190278915	0,005039263
1	190	MARC0033388	190278915	ALGA0007003	191055429	0,057737556
1	191	ALGA0007003	191055429	ALGA0007021	192669298	0,00978657
1	192	ALGA0007021	192669298	H3GA0003349	193093994	0,014605786
1	193	H3GA0003349	193093994	INRA0005315	194020406	0,057933423
1	194	INRA0005315	194020406	DIAS0000673	195015099	0,017629401
1	195	DIAS0000673	195015099	MARC0067494	196048459	0,010592838
1	196	MARC0067494	196048459	ALGA0007108	197179651	0,219631282
1	197	ALGA0007108	197179651	INRA0005357	198004282	0,020528991
1	198	INRA0005357	198004282	ALGA0119142	199041898	0,253741172
1	199	ALGA0119142	199041898	ALGA0007129	200027513	0,125535027
1	200	ALGA0007129	200027513	DRGA0001766	201005516	0,16191501
1	201	DRGA0001766	201005516	ASGA0005397	202021384	0,160043885
1	202	ASGA0005397	202021384	ALGA0007194	203020847	0,153008298
1	203	ALGA0007194	203020847	MARC0009706	204023854	0,15176059
1	204	MARC0009706	204023854	H3GA0003422	205020361	0,217264627
1	205	H3GA0003422	205020361	MARC0023555	206038795	0,206997012
1	206	MARC0023555	206038795	INRA0005522	207036700	0,663895681
1	207	INRA0005522	207036700	ASGA0005465	208051940	0,309239165
1	208	ASGA0005465	208051940	DRGA0001818	208999979	0,089847833
1	209	DRGA0001818	208999979	ALGA0007361	210049844	0,07273103
1	210	ALGA0007361	210049844	ALGA0007369	211151578	0,012758714
1	211	ALGA0007369	211151578	MARC0044664	212595746	0,096095531
1	212	MARC0044664	212595746	H3GA0003484	213014666	0,411799551
1	213	H3GA0003484	213014666	ASGA0005520	214033032	0,249254633
1	214	ASGA0005520	214033032	ALGA0007449	215042412	0,057062576
1	215	ALGA0007449	215042412	MARC0100716	216019228	0,183870151
1	216	MARC0100716	216019228	INRA0005700	217483331	0,05827735
1	217	INRA0005700	217483331	ALGA0007502	218007243	0,0438794
1	218	ALGA0007502	218007243	INRA0005707	219151821	0,076672791
1	219	INRA0005707	219151821	DRGA0001841	220102612	0,01416141
1	220	DRGA0001841	220102612	INRA0005726	221235093	0,104196827
1	221	INRA0005726	221235093	INRA0005733	222007904	0,187001904
1	222	INRA0005733	222007904	DRGA0001865	223043310	0,124535729
1	223	DRGA0001865	223043310	MARC0011360	224000157	0,154219845
1	224	MARC0011360	224000157	INRA0005758	225595709	0,096649924
1	225	INRA0005758	225595709	ALGA0007580	226149776	0,173973382
1	226	ALGA0007580	226149776	ASGA0005581	227018020	0,401616207
1	227	ASGA0005581	227018020	ALGA0007632	228038772	0,12628111
1	228	ALGA0007632	228038772	H3GA0003586	229000633	0,117532006
1	229	H3GA0003586	229000633	ALGA0007707	230021584	0,122096915
1	230	ALGA0007707	230021584	CAIL0000097	231003149	0,171212631
1	231	CAIL0000097	231003149	INRA0005876	232040879	0,33214645
1	232	INRA0005876	232040879	ALGA0007787	233185660	0,140832859
1	233	ALGA0007787	233185660	ALGA0007805	234059149	0,089913241
1	234	ALGA0007805	234059149	MARC0049741	235179193	0,093977089
1	235	MARC0049741	235179193	DRGA0001945	236058941	0,02660587
1	236	DRGA0001945	236058941	SIRI0000195	237029410	0,008844797
1	237	SIRI0000195	237029410	ASGA0005686	238102917	0,121806021
1	238	ASGA0005686	238102917	MARC0097782	239045601	0,195909092
1	239	MARC0097782	239045601	H3GA0003655	240011062	0,061040679
1	240	H3GA0003655	240011062	H3GA0003665	241074745	0,227203085
1	241	H3GA0003665	241074745	MARC0033050	242079698	0,197447174
1	242	MARC0033050	242079698	ASGA0005726	243011910	0,191847525
1	243	ASGA0005726	243011910	ALGA0007967	244008725	0,186451465
1	244	ALGA0007967	244008725	DIAS0004495	245008421	0,224164804
1	245	DIAS0004495	245008421	ASGA0005761	246005498	0,190831975
1	246	ASGA0005761	246005498	H3GA0055689	247017119	0,141834549
1	247	H3GA0055689	247017119	DRGA0001997	248065286	0,274826655
1	248	DRGA0001997	248065286	ALGA0008113	249012536	0,515418074
1	249	ALGA0008113	249012536	ALGA0008149	249998570	0,26438594
1	250	ALGA0008149	249998570	MARC0092620	251044409	0,205497837
1	251	MARC0092620	251044409	ALGA0008198	252039022	0,05981217
1	252	ALGA0008198	252039022	DIAS0001793	252997864	0,025110193
1	253	DIAS0001793	252997864	ALGA0008236	254016770	0,024658601
1	254	ALGA0008236	254016770	DRGA0002098	255032767	0,094932365
1	255	DRGA0002098	255032767	DRGA0002123	256001453	0,530596229
1	256	DRGA0002123	256001453	DRGA0002145	257001258	0,136164238
1	257	DRGA0002145	257001258	MARC0085056	258021815	0,296536004
1	258	MARC0085056	258021815	ALGA0008427	259019570	0,107256709
1	259	ALGA0008427	259019570	MARC0034775	260134029	0,218878651
1	260	MARC0034775	260134029	MARC0047151	261028547	0,162592517
1	261	MARC0047151	261028547	MARC0009506	262017674	0,099211205
1	262	MARC0009506	262017674	H3GA0003891	263216091	0,201394524
1	263	H3GA0003891	263216091	DIAS0003096	264047505	0,166680125
1	264	DIAS0003096	264047505	MARC0012678	265041087	0,6274857
1	265	MARC0012678	265041087	ALGA0008593	266007391	0,552189224
1	266	ALGA0008593	266007391	ALGA0008647	267026000	0,331677143
1	267	ALGA0008647	267026000	MARC0095678	268014122	0,708922677
1	268	MARC0095678	268014122	INRA0006750	269092739	0,8844183
1	269	INRA0006750	269092739	DRGA0002233	270102816	0,248392501
1	270	DRGA0002233	270102816	ALGA0008860	271028077	0,17548153
1	271	ALGA0008860	271028077	INRA0006832	272028559	0,446935782
1	272	INRA0006832	272028559	INRA0006858	273002529	0,338124951
1	273	INRA0006858	273002529	INRA0003953	274127937	0,096669902
1	274	INRA0003953	274127937	ALGA0008933	275078557	0,128896602
1	275	ALGA0008933	275078557	INRA0006908	276112956	0,071680526
1	276	INRA0006908	276112956	ALGA0008970	277105135	0,134258831
1	277	ALGA0008970	277105135	ALGA0008983	278271067	0,13813896
1	278	ALGA0008983	278271067	H3GA0004197	279069362	1,096392214
1	279	H3GA0004197	279069362	ALGA0009060	280005940	0,736754155
1	280	ALGA0009060	280005940	ALGA0009135	281129371	1,022955184
1	281	ALGA0009135	281129371	ASGA0006683	282001963	1,052864536
1	282	ASGA0006683	282001963	MARC0021903	282998551	0,64979284
1	283	MARC0021903	282998551	ASGA0006805	284235344	1,256874074
1	284	ASGA0006805	284235344	ALGA0123800	284998024	1,061997194
1	285	ALGA0123800	284998024	H3GA0004412	286007661	0,753692838
1	286	H3GA0004412	286007661	ASGA0007029	286998337	1,055591367
1	287	ASGA0007029	286998337	ASGA0007081	288024268	0,613758894
1	288	ASGA0007081	288024268	MARC0090745	289048882	0,670813869
1	289	MARC0090745	289048882	H3GA0052791	290260126	1,18949539
1	290	H3GA0052791	290260126	ALGA0009811	291021694	0,555380443
1	291	ALGA0009811	291021694	ALGA0122208	292036476	1,042565549
1	292	ALGA0122208	292036476	DRGA0002444	292998740	0,373661013
1	293	DRGA0002444	292998740	MARC0042411	294017947	0,830092325
1	294	MARC0042411	294017947	ASGA0007441	294752044	2,199515504
1	296	ALGA0010213	296003591	H3GA0004837	297148442	0,192348426
1	297	H3GA0004837	297148442	H3GA0004851	298042326	0,355187889
1	298	H3GA0004851	298042326	M1GA0001575	299053656	0,963750275
1	299	M1GA0001575	299053656	ALGA0010455	300316974	0,817971756
1	300	ALGA0010455	300316974	H3GA0004924	301003643	0,523173173
1	301	H3GA0004924	301003643	ASGA0007777	302231716	2,614606498
1	302	ASGA0007777	302231716	ASGA0007824	303008877	3,027148052
1	303	ASGA0007824	303008877	ALGA0010777	304042460	0,799067973
1	304	ALGA0010777	304042460	M1GA0001857	305110723	1,974249561
1	305	M1GA0001857	305110723	ALGA0010933	306090744	0,833494
1	306	ALGA0010933	306090744	H3GA0005335	307138630	1,55039923
1	307	H3GA0005335	307138630	M1GA0026399	308146449	0,099829797
1	308	M1GA0026399	308146449	ALGA0118442	308184301	0,003370135
2	0	MARC0053324	489542	M1GA0025119	1021191	0,258392552
2	1	M1GA0025119	1021191	H3GA0055669	2010989	1,409501477
2	2	H3GA0055669	2010989	ALGA0109310	3166230	1,925140782
2	3	ALGA0109310	3166230	ALGA0011480	4110608	1,812025784
2	4	ALGA0011480	4110608	ALGA0011510	5075058	1,129339969
2	5	ALGA0011510	5075058	ASGA0008705	6018125	1,243669826
2	6	ASGA0008705	6018125	H3GA0005798	7026232	1,446965267
2	7	H3GA0005798	7026232	ASGA0008864	8022443	1,576223515
2	8	ASGA0008864	8022443	ALGA0011764	9098547	1,101153651
2	9	ALGA0011764	9098547	H3GA0005949	10013178	1,409757756
2	10	H3GA0005949	10013178	ASGA0101291	11066709	0,995165541
2	11	ASGA0101291	11066709	H3GA0006023	12110297	1,178969902
2	12	H3GA0006023	12110297	DIAS0004771	12967586	1,37075122
2	15	ASGA0083343	15690961	MARC0027612	16030402	2,134162258
2	16	MARC0027612	16030402	MARC0099191	17186566	0,352623406
2	17	MARC0099191	17186566	ALGA0012199	18146391	0,767720735
2	18	ALGA0012199	18146391	ALGA0106124	19099121	2,151530717
2	19	ALGA0106124	19099121	ASGA0092196	20008168	2,850082125
2	20	ASGA0092196	20008168	H3GA0006250	21003130	0,878938788
2	21	H3GA0006250	21003130	MARC0039631	22265735	0,580599589
2	22	MARC0039631	22265735	INRA0008385	23018675	1,055530899
2	23	INRA0008385	23018675	H3GA0006290	24033064	0,739420052
2	24	H3GA0006290	24033064	H3GA0006306	25056011	0,173021355
2	25	H3GA0006306	25056011	ALGA0012634	26004268	0,749436707
2	26	ALGA0012634	26004268	MARC0035544	27137409	0,604731681
2	27	MARC0035544	27137409	ALGA0124274	28013337	1,730927467
2	28	ALGA0124274	28013337	ASGA0099650	29115937	2,462453478
2	29	ASGA0099650	29115937	ALGA0012816	30141776	0,843642848
2	30	ALGA0012816	30141776	ASGA0009814	31294292	0,316568106
2	31	ASGA0009814	31294292	ASGA0009845	32027800	0,69097628
2	32	ASGA0009845	32027800	MARC0068888	33044257	0,584508685
2	33	MARC0068888	33044257	ALGA0012925	34084545	0,320478406
2	34	ALGA0012925	34084545	MARC0061061	35054445	0,220743856
2	35	MARC0061061	35054445	MARC0092955	36008750	0,858700083
2	36	MARC0092955	36008750	ALGA0013002	37277512	0,069480863
2	37	ALGA0013002	37277512	MARC0017558	38144228	0,121101529
2	38	MARC0017558	38144228	ALGA0113239	39185102	0,020012771
2	39	ALGA0113239	39185102	ALGA0013038	40072508	0,083493315
2	40	ALGA0013038	40072508	ALGA0013079	41011761	0,244745581
2	41	ALGA0013079	41011761	ALGA0013180	42063092	0,523992048
2	42	ALGA0013180	42063092	M1GA0002860	43009789	0,522026807
2	43	M1GA0002860	43009789	ALGA0112451	44080004	0,632779143
2	44	ALGA0112451	44080004	DIAS0000957	45046753	0,416079574
2	45	DIAS0000957	45046753	DRGA0002974	46053572	0,406251793
2	46	DRGA0002974	46053572	ASGA0097325	47151814	0,657107404
2	47	ASGA0097325	47151814	ALGA0013618	48125078	0,644166182
2	48	ALGA0013618	48125078	DRGA0002992	49185691	0,326554619
2	49	DRGA0002992	49185691	ASGA0097814	50036228	0,563551452
2	50	ASGA0097814	50036228	M1GA0024860	51003535	0,514943774
2	51	M1GA0024860	51003535	DRGA0003000	52042198	0,364891574
2	52	DRGA0003000	52042198	MARC0043071	53067453	0,236607697
2	53	MARC0043071	53067453	ALGA0013993	54381571	0,007158096
2	54	ALGA0013993	54381571	ALGA0112770	55200111	0,016095893
2	55	ALGA0112770	55200111	MARC0101455	56469735	0,015610247
2	56	MARC0101455	56469735	MARC0081975	57011989	0,021792266
2	57	MARC0081975	57011989	MARC0065336	58377827	0,031186742
2	58	MARC0065336	58377827	MARC0027644	59243470	0,295931555
2	59	MARC0027644	59243470	ASGA0010483	60022633	0,134189463
2	60	ASGA0010483	60022633	H3GA0006864	61106499	0,236734393
2	61	H3GA0006864	61106499	ALGA0013914	62015620	0,089968576
2	62	ALGA0013914	62015620	MARC0059264	62521678	0,271644655
2	65	ASGA0096884	65057680	ALGA0013811	66048253	0,134994268
2	66	ALGA0013811	66048253	MARC0013527	67308766	0,134274605
2	67	MARC0013527	67308766	MARC0013967	67726867	0,050950618
2	69	DIAS0000914	69067480	MARC0006299	70061497	0,126332736
2	70	MARC0006299	70061497	ALGA0115713	71726032	0,164799708
2	71	ALGA0115713	71726032	ALGA0106490	72042065	0,364885222
2	72	ALGA0106490	72042065	MARC0013030	73076347	0,183404125
2	73	MARC0013030	73076347	MARC0042519	74063668	0,078839122
2	74	MARC0042519	74063668	ALGA0013721	75594507	0,263885675
2	75	ALGA0013721	75594507	MARC0030590	76315462	0,151323482
2	76	MARC0030590	76315462	MARC0104888	77011684	0,173651731
2	77	MARC0104888	77011684	ALGA0102692	77635095	0,13986856
2	78	ALGA0102692	77635095	MARC0029487	77558461	0,030866312
2	80	MARC0037265	80129606	MARC0041592	81034415	0,397019781
2	81	MARC0041592	81034415	ASGA0010541	82002123	0,259187869
2	82	ASGA0010541	82002123	MARC0030589	83080749	0,233616065
2	83	MARC0030589	83080749	ASGA0010561	84026553	0,752446276
2	84	ASGA0010561	84026553	DRGA0003057	85036318	0,260425263
2	85	DRGA0003057	85036318	ASGA0010625	86139077	0,384833698
2	86	ASGA0010625	86139077	M1GA0002974	87007147	0,352920826
2	87	M1GA0002974	87007147	ALGA0014193	88047491	0,528833613
2	88	ALGA0014193	88047491	DRGA0003092	89007639	0,199603692
2	89	DRGA0003092	89007639	ALGA0014302	90053305	0,43864224
2	90	ALGA0014302	90053305	DRGA0003111	91003962	0,262775786
2	91	DRGA0003111	91003962	MARC0104082	92110624	0,413073015
2	92	MARC0104082	92110624	H3GA0007165	93318735	0,066439577
2	93	H3GA0007165	93318735	ALGA0014442	94085488	0,218348515
2	94	ALGA0014442	94085488	SIRI0000014	95014748	0,095931304
2	95	SIRI0000014	95014748	MARC0055959	96053472	0,054588127
2	96	MARC0055959	96053472	ASGA0010935	97079984	0,139519923
2	97	ASGA0010935	97079984	INRA0009055	98002439	0,555493795
2	98	INRA0009055	98002439	MARC0008405	99044666	0,142473827
2	99	MARC0008405	99044666	H3GA0007213	100248260	0,023764769
2	100	H3GA0007213	100248260	MARC0019188	101225558	0,087720847
2	101	MARC0019188	101225558	H3GA0007225	102047786	0,248317052
2	102	H3GA0007225	102047786	CASI0005590	103008035	0,133488529
2	103	CASI0005590	103008035	MARC0016242	104256453	0,197277022
2	104	MARC0016242	104256453	ALGA0114304	105029085	0,293188625
2	105	ALGA0114304	105029085	ALGA0014696	106268468	0,095608472
2	106	ALGA0014696	106268468	ASGA0096522	107011848	0,614187152
